Food,CO2 footprint,Category,Energy (kcal),Energy (kJ),Carbohydrate (g),Fat (g),Protein (g),Fibre (g),Water (g),Alcohol (g),Ash (g),Monosaccharides (g),Disaccharides (g),Sucrose (g),Wholegrain total (g),Sugar total (g),Saturated fatty acids (g),Fatty acids 4:0-10:0 (g),Fatty acid 12:0 (g),Fatty acid 14:0 (g),Fatty acid 16:0 (g),Fatty acid 18:0 (g),Fatty acid 20:0 (g),Monounsaturated fatty acids (g),Fatty acid 16:1 (g),Fatty acid 18:1 (g),Sum of polyunsaturated fatty acids (g),Fatty acids 18:2 (g),Fatty acid 18:3 (g),Fatty acid 20:4 (g),EPA (Fatty acid 20:5) (g),DPA (Fatty acid 22:5) (g),DHA (Fatty acid 22:6) (g),Cholesterol (mg),Retinol (µg),Retinolequivalents (µg),Beta-carotene (µg),Vitamin D (µg),Vitamin E (mg),Vitamin K (µg),Thiamin (mg),Riboflavin (mg),Vitamin C (mg),Niacin (mg),Niacinequivalents (mg),Vitamin B-6 (mg),Vitamin B-12 (µg),Folate (µg),Phosphorus (mg),Iodide (µg),Iron (mg),Calcium (mg),Potassium (mg),Magnesium (mg),Sodium (mg),Salt (g),Selenium (µg),Zinc (mg),Waste (e.g. peel) (%)
Camembert,5.6,cheese,286.30,1,198.00,0.00,22.50,21.50,0.00,52.70,0.00,3.30,0.00,0.10,0.00,0.00,,14.58,1.92,0.72,2.36,6.45,2.50,0.04,5.80,0.34,5.07,0.58,0.43,0.13,0.02,0.00,0.00,0.00,72.00,215.00,223.20,99.00,0.16,0.50,,0.04,0.45,0.00,1.80,6.82,0.25,1.10,62.00,370.00,,0.20,720.00,187.00,20.00,605.00,1.51,5.50,2.40,0.00
Cantaloupe,1.3,fruits and berries,36.70,153.70,7.90,0.10,0.50,0.90,90.00,0.00,0.60,3.00,4.80,4.80,0.00,,0.03,0.00,0.00,0.00,0.02,0.00,0.00,0.01,0.00,0.01,0.03,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,2.00,24.00,0.00,0.10,,0.08,0.02,25.00,0.60,0.68,0.06,0.00,30.00,10.00,,0.10,6.00,270.00,7.00,10.00,0.03,0.00,0.00,54.00
Carrot,0.14,root vegetables,36.40,152.10,6.60,0.24,0.69,2.42,89.45,0.00,0.58,3.20,3.05,3.05,0.00,,0.05,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.14,0.12,0.02,0.00,0.00,0.00,0.00,0.00,0.00,861.50,8,695.00,0.00,0.57,8.00,0.04,0.00,4.90,0.80,0.90,0.14,0.00,22.20,23.00,3.00,0.19,26.00,210.00,8.00,31.00,0.08,0.00,0.16,16.00
Cauliflower,0.29,vegetables,24.40,102.10,2.60,0.17,1.94,2.33,92.20,0.00,0.78,2.10,0.60,0.60,0.00,,0.04,0.00,0.00,0.00,0.04,0.00,0.00,0.01,0.00,0.01,0.08,0.02,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.50,6.00,0.00,0.10,27.30,0.06,0.05,79.10,0.52,0.80,0.18,0.00,88.40,43.00,0.80,0.34,23.00,340.00,11.00,6.00,0.02,0.00,0.25,21.00
Cauliflower (imported),0.7,vegetables,24.40,102.10,2.60,0.17,1.94,2.33,92.20,0.00,0.78,2.10,0.60,0.60,0.00,,0.04,0.00,0.00,0.00,0.04,0.00,0.00,0.01,0.00,0.01,0.08,0.02,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.50,6.00,0.00,0.10,27.30,0.06,0.05,79.10,0.52,0.80,0.18,0.00,88.40,43.00,0.80,0.34,23.00,340.00,11.00,6.00,0.02,0.00,0.25,21.00
Celeriac,0.25,root vegetables,32.30,135.30,4.40,0.50,1.01,3.10,90.00,0.00,1.03,0.00,2.40,2.40,0.00,,0.12,0.00,0.00,0.00,0.09,0.00,0.01,0.02,0.02,0.24,0.26,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,2.00,0.00,0.20,0.80,0.05,0.05,9.20,0.56,0.70,0.22,0.00,58.80,60.00,0.00,0.34,31.50,296.00,11.70,45.00,0.11,0.00,0.34,25.00
Celery,0.18,vegetables,13.30,55.50,1.50,0.10,0.70,1.80,95.00,0.00,0.90,0.90,0.30,0.30,0.00,,0.02,0.00,0.00,0.00,0.02,0.00,0.00,0.02,0.00,0.02,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.20,110.00,0.00,0.20,,0.04,0.08,7.00,0.50,0.62,0.09,0.00,9.00,26.00,1.90,0.40,70.00,320.00,8.00,62.00,0.16,1.00,0.40,20.00
Chard babyleafs,0.7,vegetables,15.90,66.70,0.00,0.50,2.13,1.50,94.40,0.00,1.49,0.20,0.00,0.00,0.00,,0.06,0.00,0.00,0.00,0.05,0.00,0.00,0.03,0.01,0.02,0.31,0.05,0.22,0.00,0.00,0.00,0.00,0.00,0.00,175.30,2,060.00,0.00,0.93,255.00,0.04,0.09,8.50,0.40,0.80,0.13,0.00,123.00,26.00,2.00,1.37,95.00,260.00,34.00,200.00,0.50,0.00,0.37,0.00
Cherimoya,0.92,fruits and berries,99.10,414.80,21.10,0.40,1.30,2.40,74.00,0.00,0.80,11.20,0.50,0.50,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,6.00,0.00,0.10,,0.10,0.11,9.00,1.30,1.52,0.05,0.00,5.00,40.00,,0.50,23.00,113.00,14.00,1.00,0.00,1.00,0.10,35.00
Cherry,1.58,fruits and berries,68.6,287,14.68,0.1,1.09,1.87,81.6,0,0.65,14.6,0,0,0,,0.02,0,0,0.01,0,0.02,0,0.02,0.04,0.02,0.02,0,0,0,0,0,0,5.9,61,0,0.57,3.4,0.02,0.03,12.3,0.2,0.33,0.07,0,24.7,22,0.2,0.3,16.6,286,8,0.7,0,0,0.1,10,,
