Food,CO2 footprint,Category,Energy (kcal),Energy (kJ),Carbohydrate (g),Fat (g),Protein (g),Fibre (g),Water (g),Alcohol (g),Ash (g),Monosaccharides (g),Disaccharides (g),Sucrose (g),Wholegrain total (g),Sugar total (g),Sum of saturated fatty acids (g),Fatty acids 4:0-10:0 (g),Fatty acid 12:0 (g),Fatty acid 14:0 (g),Fatty acid 16:0 (g),Fatty acid 18:0 (g),Fatty acid 20:0 (g),Sum of monounsaturated fatty acids (g),Fatty acid 16:1 (g),Fatty acid 18:1 (g),Sum of polyunsaturated fatty acids (g),Fatty acids 18:2 (g),Fatty acid 18:3 (g),Fatty acid 20:4 (g),EPA (Fatty acid 20:5) (g),DPA (Fatty acid 22:5) (g),DHA (Fatty acid 22:6) (g),Cholesterol (mg),Retinol (µg),Retinolequivalents (µg),Beta-carotene (µg),Vitamin D (µg),Vitamin E (mg),Vitamin K (µg),Thiamin (mg),Riboflavin (mg),Vitamin C (mg),Niacin (mg),Niacinequivalents (mg),Vitamin B-6 (mg),Vitamin B-12 (µg),Folate (µg),Phosphorus (mg),Iodide (µg),Iron (mg),Calcium (mg),Potassium (mg),Magnesium (mg),Sodium (mg),Salt (g),Selenium (µg),Zinc (mg),Waste (e.g. peel) (%)
Egg ,2.12,meat,137.4,575.1,0.4,9.73,12.25,0,76.28,0,0.84,0.4,0,0,0,,2.59,0,0,0.03,1.89,0.66,0,3.97,0.24,3.68,1.46,1.11,0.09,0.13,0,0,0.1,340,233,233.2,0,1.43,5.57,30.2,0.08,0.45,0,0,3.1,0.1,1.47,85.8,184.3,28.6,1.68,52.1,131.6,11.7,142.1,0.36,22.65,1.31,12
Emmental cheese,6.9,cheese,386.3,1616.2,1.4,31,26.2,0,37.9,0,3.5,0,0,0,0,,20.33,3.19,0.97,3.19,8.96,3.57,0.06,7.24,0.29,6.68,0.47,0.47,0.21,0,0,0,0,87,259,270.9,143,0.21,0.72,2.9,0.02,0.28,0,0.04,6.16,0.04,1.4,32,490,15,0.11,710,80,29,430,1.08,9.6,3.2,0
Fennel,0.23,vegetables,28.5,119.4,1.8,0.4,2.8,3.3,90,0,1.7,2.3,0.3,0.3,0,,0.07,0,0,0,0.05,0,0,0.07,0.02,0,0.18,0.04,0.13,0,0,0,0,0,0,175,2100,0,0.2,,0.23,0.11,31,0.2,0.67,0.1,0,3.3,51,,2.7,64,396,14,7,0.02,1,0.5,7
Fish fingers (cod),3.4,fish and seafood,207.3,867.5,19,9.06,12.31,0,57.9,0,1.7,0.2,0.7,0,0,0,0.84,0,0,0.02,0.53,0.2,0.04,4.11,0.03,3.89,3.22,2.51,0.47,0.02,0.06,0.01,0.13,35,17.9,20.1,20,0.33,3.91,6.2,0.1,0.07,0,1.3,3.6,0.07,1.11,9.4,143,55,0.38,18,145,30,419,1.05,14.3,0.57,0
Flour,0.8,grains,78.6,328.8,16.4,0.1,1.74,2.09,78.81,0,0.91,0.52,0.32,0.32,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,8,0,0.07,1.2,0.06,0.03,23.6,2.01,2.3,0.21,0,19.1,43.1,0.2,0.4,4.4,378.5,21.8,3.1,0.01,0.05,0.22,
French fries,1.4,root vegetables,243.1,1017,30.6,11.4,3,3,51,0,1,0.4,0.1,0.1,0,,3.38,0,0,0.03,2.53,0.69,0.04,4.77,0,4.73,2.75,2.43,0.33,0,0,0,0,0,0,0,0,0,2,,0,0.03,4,3.3,3.8,0.24,0,16.5,93,,0.7,19,500,34,4,0.01,0.1,0.4,0
Garlic,0.23,vegetables,159.7,668,31.1,0.5,6.4,1.5,59,0,1.5,3,0.9,0.9,0,,0.09,0,0,0,0.09,0,0,0.01,0,0.01,0.25,0.23,0.02,0,0,0,0,0,0,0,0,0,0.01,,0.2,0.11,31,0.7,1.77,0.13,0,3,153,2.7,1.7,181,400,25,17,0.04,20,1,13
Goat's cheese,9,cheese,345.4,1445.3,1.4,28.95,20.61,0,46.3,0,2.75,0,0.39,0.05,0,,19.97,3.84,1.12,2.71,7.7,3.49,0.09,5.93,0.26,5.44,1.28,0.88,0.2,0.04,0,0,0,97.6,302,302,2,0.15,0.65,3.7,0.05,0.42,0,0.66,5.5,0.18,0.19,48,263.4,43,0.68,168.8,133.8,17.1,685.8,1.71,11.29,0.93,0
Grapes,1.3,fruits and berries,75,313.8,15.7,0.6,0.7,1.6,81,0,0.4,14.7,0.4,0.3,0,,0.2,0,0,0.01,0.17,0.02,0,0.02,0,0.02,0.18,0.14,0.04,0,0,0,0,0,0,2.8,33,0,0.4,,0.09,0.06,11,0.3,0.42,0.11,0,4,13,0.4,0.3,11,185,9,2,0.01,0.4,0.1,4
Green lentils - canned,0.9,legumes,92.3,386.4,13.1,0.6,6.25,4.4,74.5,0,1.2,0.01,0.23,0.17,0,,0.08,0,0,0,0.06,0.01,0,0.12,0,0.12,0.27,0.21,0.06,0,0,0,0,0,0,1,11,0,0.31,12.6,0.04,0.03,0,0.36,1.4,0.08,0,15.6,76.3,3.3,1.36,43.3,126.6,20.8,305.7,0.76,17.5,0.41,
Green peas,0.32,legumes,71.7,300.2,8.8,0.4,5.4,5.5,79,0,0.9,0.3,3.7,3.7,0,,0.08,0,0,0,0.07,0,0,0.03,0,0.03,0.22,0.18,0.04,0,0,0,0,0,0,45.8,550,0,0.13,,0.41,0.13,40,2.1,3,0.17,0,65,130,0.2,2,31,370,40,1,0,0.2,1.3,60
Haddock (filet),3.8,fish and seafood,298.3,1248,0,25,17,0,55,0,1,0,0,0,0,,5.3,0,0,1.6,2.95,0.5,0.04,9.09,0.87,2.92,7.23,0.36,0.34,0.36,1.76,0.34,2.8,48.8,15,15,0,5.4,0.42,0,0.1,0.28,0,8.3,11.4,0.61,7.4,0,194,63,0.8,15,367,24,43,0.11,60,0.62,41
Ham,7.2,meat,129.6,542.2,0.1,4.5,22,0,70,0,3.4,0,0,0,0,,1.94,0,0,0.08,1.15,0.68,0.01,1.85,0.15,1.63,0.5,0.39,0.02,0.01,0,0.01,0.02,45,2,2,0,0.63,0.3,,0.8,0.2,0,5.1,9.13,0.37,0.8,6,196,,0.7,10,310,15,1130,2.83,6,3,0
Hard Cheese,8.5,cheese,325.2,1360.8,0.8,23,29.19,0,43,0,4,0.1,0.1,0,0,,15.08,2.37,0.72,2.37,6.65,2.65,0.04,5.37,0.22,4.96,0.35,0.35,0.15,0,0,0,0,65,192,200.8,106,0.16,0.54,2.2,0.03,0.32,0,0.05,6.9,0.05,1.6,36,550,17,0.19,810,91,33,470,1.18,10.4,3.5,0
Heavy cream fat 40%,2.6,dairy,374.5,1566.9,3,40,2.11,0,54.4,0,0.48,0,2.69,0,0,,25.63,2.91,1.29,4.16,12.44,4.04,0.08,9.98,0.83,8.66,0.95,0.6,0.26,0.04,0,0.04,0,114.3,344.5,369.3,298,0.09,1.02,11.7,0.03,0.09,0.4,0.04,0.5,0.03,0.36,8.9,63,7.3,0.04,75,100,7,24,0.06,1.29,0.3,0
Herring,2.1,fish and seafood,147.5,617.2,0,9,16.72,0,71.2,0,1.8,0,0,0,0,0,1.98,0,0,0.62,1.12,0.1,0.01,3.66,0.36,0.84,2.34,0.2,0.17,0.09,0.42,0.08,0.92,57,6.4,6.4,0,5.78,0.71,0.4,0,0.21,0,4.96,8,0.3,8.79,11,276.5,41.5,0.62,56,334.5,36.5,198.5,0.5,25.25,1.42,30
Honey,2.6,sweets,332.4,1390.6,81.5,0,0.3,0,18,0,0.2,71,3.7,0.8,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.04,2,0.3,0.35,0.02,0,0,6,0.5,0.5,5,51,3,5,0.01,0,0.6,0
Ice cream (dairy based),1.2,dairy,136.7,572,4.43,12,3.1,0,79.8,0,0.67,0.05,3.4,0,0,,7.87,1.24,0.37,1.24,3.47,1.38,0.02,2.8,0.11,2.59,0.26,0.18,0.08,0,0,0,0,35.1,100.1,104.7,55,0.08,0.28,,0.04,0.13,0,0.06,0.78,0.04,0.24,10.1,83,,0.05,105,147,11,37,0.09,1.7,0.41,0
Iceberg lettuce,0.53,vegetables,14.5,60.7,2.5,0.12,0.81,0,96.2,0,0.35,2.1,0.1,0.1,0,,0.02,0,0,0,0.02,0,0,0.01,0,0,0.07,0.02,0.05,0,0,0,0,0,0,9.2,108,0,0.76,44.3,0.03,0,5,0.22,0.4,0.05,0,57,23,,0.33,25,180,11,3,0.01,0,0.23,5
Instant rice - dry,2.17,grains,364.6,1525.7,78.5,0.7,8.5,2.6,9,0,0.7,0.07,0.5,0.5,0,0.6,0.12,0,0,0,0.1,0.01,0,0.23,0,0.22,0.24,0.23,0.01,0,0,0,0,0,0,0,0,0,0,,0.25,0.02,0,4,5.4,0.44,0,8,165,,0.4,73,158,30,2,0.01,0,0.7,
Jasmine rice - dry,3.1,grains,354.4,1482.8,78.2,0.7,7.5,0,13,0,0.64,0.14,0.02,0.02,0,0.2,0.12,0,0,0,0.1,0.01,0,0.23,0,0.22,0.24,0.23,0.01,0,0,0,0,0,0,0,0,0,0,,0.04,0.05,0,0.7,2,0.75,0,11,68,,0,0,56,10,0,0,0,1.6,
Kale,0.23,vegetables,40,167.4,3.2,0.7,3.38,3.7,87.5,0,1.5,1.4,0.7,0.7,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,3150,0,2.12,347,0.08,0.15,74,1.89,2.5,0.2,0,111,68.9,0,0.86,128,378,20.1,21.6,0.05,0,0.44,38
Kiwi,1.2,fruits and berries,55.9,233.9,10.2,0.4,0.9,3.8,84,0,0.7,8.5,0.7,0.7,0,,0.05,0,0,0,0.04,0.01,0,0.07,0,0.07,0.2,0.17,0.02,0,0,0,0,0,0,3.6,43,0,0.2,,0.02,0.05,63,0.5,0.65,0.06,0,42,31,,0.3,27,270,30,3,0.01,1,0.1,15
Kohlrabi,0.23,root vegetables,29.1,121.8,4.4,0.1,1.7,1.8,91,0,1,2,0.9,0.9,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24,0,0.2,,0.05,0.02,62,0.4,0.68,0.15,0,20,46,,0.4,24,350,19,20,0.05,0.5,0.3,54
Lamb brisket,13.35,meat,133.6,558.8,0,5.9,20.13,0,73.1,0,1,0,0,0,0,,2.44,0,0.02,0.21,1.2,0.77,0.01,2.38,0.12,2.18,0.45,0.28,0.07,0.04,0.02,0.02,0.01,63.2,6.6,6.6,0,0,0.35,8,0.16,0.24,0,5.34,9,0.21,2.36,1,190,4.3,1.38,4.9,310,23,78,0.2,7.47,3.67,30
Lamb chops,13.35,meat,232.2,971.6,0,17.3,19,0,62.4,0,0.8,0,0,0,0,,7.89,0.03,0.05,0.73,3.68,2.64,0.03,6.7,0.35,6.12,0.89,0.64,0.17,0.02,0.02,0.03,0,69.9,20.2,20.2,0,0,0.41,14.5,0.17,0.21,0,5.93,9.4,0.29,0.88,1,170,4.6,1.45,12,260,21,72,0.18,4.62,2.12,30
Lamb heart,13.35,meat,119,497.9,0,5.6,17.1,0,76.3,0,1,0,0,0,0,,2.16,0,0,0.15,0.87,1.07,0,1.66,0.09,1.46,0.53,0.32,0.12,0.09,0,0,0,140,7,7,0,0.4,0.37,,0.48,0.9,7,6.9,10.04,0.29,8,20,210,1.9,3.6,7,280,21,140,0.35,3,2,22
