Food,CO2 footprint,Category,Energy (kcal),Energy (kJ),Carbohydrate (g),Fat (g),Protein (g),Fibre (g),Water (g),Alcohol (g),Ash (g),Monosaccharides (g),Disaccharides (g),Sucrose (g),Wholegrain total (g),Sugar total (g),Sum of saturated fatty acids (g),Fatty acids 4:0-10:0 (g),Fatty acid 12:0 (g),Fatty acid 14:0 (g),Fatty acid 16:0 (g),Fatty acid 18:0 (g),Fatty acid 20:0 (g),Sum of monounsaturated fatty acids (g),Fatty acid 16:1 (g),Fatty acid 18:1 (g),Sum of polyunsaturated fatty acids (g),Fatty acids 18:2 (g),Fatty acid 18:3 (g),Fatty acid 20:4 (g),EPA (Fatty acid 20:5) (g),DPA (Fatty acid 22:5) (g),DHA (Fatty acid 22:6) (g),Cholesterol (mg),Retinol (ug),Retinolequivalents (ug),Beta-carotene (ug),Vitamin D (ug),Vitamin E (mg),Vitamin K (ug),Thiamin (mg),Riboflavin (mg),Vitamin C (mg),Niacin (mg),Niacinequivalents (mg),Vitamin B-6 (mg),Vitamin B-12 (ug),Folate (ug),Phosphorus (mg),Iodide (ug),Iron (mg),Calcium (mg),Potassium (mg),Magnesium (mg),Sodium (mg),Salt (g),Selenium (ug),Zinc (mg),Waste (e.g. peel) (%)
endive,0.7,vegetables and mushrooms,14.9,62.4,1,0.2,1.2,2.2,94,0,1.4,0.2,0.7,0.7,0,0,0.04,0,0,0,0.04,0,0,0,0,0,0.09,0.08,0.01,0,0,0,0,0,0,102.5,1230.00,0,0.1,0,0.08,0.08,7,0.4,0.6,0.02,0,142,28,6.4,0.8,52,315,15,22,0.06,1,0.8,14
fennel,0.23,vegetables and mushrooms,28.5,119.4,1.8,0.4,2.8,3.3,90,0,1.7,2.3,0.3,0.3,0,0,0.07,0,0,0,0.05,0,0,0.07,0.02,0,0.18,0.04,0.13,0,0,0,0,0,0,175,2100.00,0,0.2,0,0.23,0.11,31,0.2,0.67,0.1,0,3.3,51,0,2.7,64,396,14,7,0.02,1,0.5,7
kale,0.23,vegetables and mushrooms,40,167.4,3.2,0.7,3.38,3.7,87.5,0,1.5,1.4,0.7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,3150.00,0,2.12,347,0.08,0.15,74,1.89,2.5,0.2,0,111,68.9,0,0.86,128,378,20.1,21.6,0.05,0,0.44,38
cucumber,1.12,vegetables and mushrooms,13.1,54.8,2.3,0.05,0.81,0,96.5,0,0.38,1.7,0,0,0,0,0.02,0,0,0,0.02,0,0,0,0,0,0.02,0.01,0.01,0,0,0,0,0,0,10,119,0,0.15,24.4,0.02,0,10.1,0.19,0.3,0.05,0,10.4,25,0.3,0.27,17,160,10,3,0.01,0,0.17,5
lettuces,0.7,vegetables and mushrooms,14.2,59.5,1.1,0.2,1.4,1.2,95,0,1.1,0.7,0.1,0.1,0,0,0.04,0,0,0,0.03,0,0,0.01,0,0,0.12,0.05,0.06,0,0,0,0,0,0,108.3,1300.00,0,0.3,0,0.08,0.1,9,0.5,0.73,0.06,0,73,32,1,0.7,65,360,13,6,0.02,0.5,0.5,10
iceberg lettuce,0.53,vegetables and mushrooms,14.5,60.7,2.5,0.12,0.81,0,96.2,0,0.35,2.1,0.1,0.1,0,0,0.02,0,0,0,0.02,0,0,0.01,0,0,0.07,0.02,0.05,0,0,0,0,0,0,9.2,108,0,0.76,44.3,0.03,0,5,0.22,0.4,0.05,0,57,23,0,0.33,25,180,11,3,0.01,0,0.23,5
kohlrabi,0.23,vegetables and mushrooms,29.1,121.8,4.4,0.1,1.7,1.8,91,0,1,2,0.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24,0,0.2,0,0.05,0.02,62,0.4,0.68,0.15,0,20,46,0,0.4,24,350,19,20,0.05,0.5,0.3,54
swede,0.24,vegetables and mushrooms,36.6,153.1,6.1,0.06,1.37,3,88.8,0,0.62,6.4,0.4,0.4,0,0,0.01,0,0,0,0.01,0,0,0.01,0,0.01,0.03,0.01,0.02,0,0,0,0,0,0,1.2,14,0,0,3.7,0.05,0.03,57.1,1.48,1.7,0.22,0,50.8,30.4,0,0.23,41.8,166,9.1,7.7,0.02,0,0.15,13
yellow onion,0.18,vegetables and mushrooms,39,163.1,7.3,0.1,1.19,1.88,89.1,0,0.47,3,1.5,1.5,0,0,0.03,0,0,0,0.03,0,0,0.01,0,0.01,0.04,0.04,0.01,0,0,0,0,0,0,0.2,2,0,0.05,0.5,0.04,0,7.8,0.14,0.3,0.16,0,20.4,33,0.9,0.21,31,190,11,3,0.01,0,0.11,7
red onion,0.18,vegetables and mushrooms,46.1,192.8,9,0.1,1.19,1.98,87.2,0,0.5,2.9,1.6,1.6,0,0,0.03,0,0,0,0.03,0,0,0.01,0,0.01,0.04,0.04,0.01,0,0,0,0,0,0,0,0,0,0.05,0,0.04,0,9.2,0.16,0.4,0.17,0,27.9,34,0.9,0.2,26,200,11,3,0.01,0,0.15,7
